uid,formula_clean,charge,charge_state,n_lines,CID,MolecularWeight,IUPACName,SMILES,InChIKey,HeavyAtomCount,Charge
211,C18H12,0,neutral,84,9170,228.3,triphenylene,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,SLGBZMMZGDRARJ-UHFFFAOYSA-N,18,0
211,C18H12,0,neutral,84,9136,228.3,benzo[c]phenanthrene,C1=CC=C2C(=C1)C=CC3=C2C4=CC=CC=C4C=C3,TUAHORSUHVUKBD-UHFFFAOYSA-N,18,0
292,C18H12,1,cation,84,5954,228.3,benzo[a]anthracene,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,DXBHBZVCASKNBY-UHFFFAOYSA-N,18,0
292,C18H12,1,cation,84,9171,228.3,chrysene,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,WDECIBYCCFPHNR-UHFFFAOYSA-N,18,0
292,C18H12,1,cation,84,7080,228.3,tetracene,C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,IFLREYGFSNHWGE-UHFFFAOYSA-N,18,0
292,C18H12,1,cation,84,9170,228.3,triphenylene,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,SLGBZMMZGDRARJ-UHFFFAOYSA-N,18,0
292,C18H12,1,cation,84,9136,228.3,benzo[c]phenanthrene,C1=CC=C2C(=C1)C=CC3=C2C4=CC=CC=C4C=C3,TUAHORSUHVUKBD-UHFFFAOYSA-N,18,0
283,C18H12,1,cation,84,5954,228.3,benzo[a]anthracene,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,DXBHBZVCASKNBY-UHFFFAOYSA-N,18,0
283,C18H12,1,cation,84,9171,228.3,chrysene,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,WDECIBYCCFPHNR-UHFFFAOYSA-N,18,0
283,C18H12,1,cation,84,7080,228.3,tetracene,C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,IFLREYGFSNHWGE-UHFFFAOYSA-N,18,0
283,C18H12,1,cation,84,9170,228.3,triphenylene,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,SLGBZMMZGDRARJ-UHFFFAOYSA-N,18,0
283,C18H12,1,cation,84,9136,228.3,benzo[c]phenanthrene,C1=CC=C2C(=C1)C=CC3=C2C4=CC=CC=C4C=C3,TUAHORSUHVUKBD-UHFFFAOYSA-N,18,0
